subject,imtype,region,category,sequence,signal_change
R3290,global,ffa_right_50,house,diff,0.3766
R3290,global,hMT,face,same,0.0557
R3290,global,hMT,face,diff,0.2097
R3290,global,hMT,house,same,-0.03136
R3290,global,hMT,house,diff,-0.08136
R3290,global,hV4,face,same,1.196
R3290,global,hV4,face,diff,1.177
R3290,global,hV4,house,same,1.133
R3290,global,hV4,house,diff,1.23
R3290,global,ofa_24_bilat,face,same,0.2686
R3290,global,ofa_24_bilat,face,diff,0.1951
R3290,global,ofa_24_bilat,house,same,0.1111
R3290,global,ofa_24_bilat,house,diff,0.2212
R3290,global,ofa_left_100,face,same,0.6551
R3290,global,ofa_left_100,face,diff,0.3806
R3290,global,ofa_left_100,house,same,0.1929
R3290,global,ofa_left_100,house,diff,0.5267
R3290,global,ofa_right_100,face,same,0.6648
R3290,global,ofa_right_100,face,diff,0.4783
R3290,global,ofa_right_100,house,same,0.5161
R3290,global,ofa_right_100,house,diff,0.5972
R3290,global,opa_24_bilat,face,same,0.812
R3290,global,opa_24_bilat,face,diff,0.8139
R3290,global,opa_24_bilat,house,same,0.8121
R3290,global,opa_24_bilat,house,diff,0.861
R3290,global,opa_left_100,face,same,1.359
R3290,global,opa_left_100,face,diff,1.457
R3290,global,opa_left_100,house,same,1.512
R3290,global,opa_left_100,house,diff,1.536
R3290,global,opa_right_100,face,same,0.6754
R3290,global,opa_right_100,face,diff,0.8132
R3290,global,opa_right_100,house,same,0.7907
R3290,global,opa_right_100,house,diff,0.8058
R3290,global,ppa_24_bilat,face,same,0.3248
R3290,global,ppa_24_bilat,face,diff,0.2844
R3290,global,ppa_24_bilat,house,same,0.2717
R3290,global,ppa_24_bilat,house,diff,0.2321
R3290,global,ppa_24_left,face,same,0.2888
R3290,global,ppa_24_left,face,diff,0.2622
R3290,global,ppa_24_left,house,same,0.2335
R3290,global,ppa_24_left,house,diff,0.1764
R3290,global,ppa_24_right,face,same,0.361
R3290,global,ppa_24_right,face,diff,0.3068
R3290,global,ppa_24_right,house,same,0.3101
R3290,global,ppa_24_right,house,diff,0.2882
R3290,global,ppa_31_bilat,face,same,0.3647
R3290,global,ppa_31_bilat,face,diff,0.3158
R3290,global,ppa_31_bilat,house,same,0.3215
R3290,global,ppa_31_bilat,house,diff,0.2763
R3290,global,ppa_31_left,face,same,0.2942
R3290,global,ppa_31_left,face,diff,0.265
R3290,global,ppa_31_left,house,same,0.253
R3290,global,ppa_31_left,house,diff,0.1792
R3290,global,ppa_31_right,face,same,0.4318
R3290,global,ppa_31_right,face,diff,0.3641
R3290,global,ppa_31_right,house,same,0.3867
R3290,global,ppa_31_right,house,diff,0.3686
R3290,global,ppa_38_bilat,face,same,0.3775
R3290,global,ppa_38_bilat,face,diff,0.3301
R3290,global,ppa_38_bilat,house,same,0.3461
R3290,global,ppa_38_bilat,house,diff,0.2883
R3290,global,ppa_38_left,face,same,0.2829
R3290,global,ppa_38_left,face,diff,0.2691
R3290,global,ppa_38_left,house,same,0.2575
R3290,global,ppa_38_left,house,diff,0.162
R3290,global,ppa_38_right,face,same,0.4581
R3290,global,ppa_38_right,face,diff,0.382
R3290,global,ppa_38_right,house,same,0.4217
R3290,global,ppa_38_right,house,diff,0.3958
R3290,global,ppa_left_100,face,same,0.8641
R3290,global,ppa_left_100,face,diff,0.8428
R3290,global,ppa_left_100,house,same,0.9135
R3290,global,ppa_left_100,house,diff,0.8874
R3290,global,ppa_left_150,face,same,0.7834
R3290,global,ppa_left_150,face,diff,0.7676
R3290,global,ppa_left_150,house,same,0.824
R3290,global,ppa_left_150,house,diff,0.7874
R3290,global,ppa_left_23,face,same,0.7789
R3290,global,ppa_left_23,face,diff,0.7735
R3290,global,ppa_left_23,house,same,0.8187
R3290,global,ppa_left_23,house,diff,0.7831
R3290,global,ppa_left_31,face,same,0.852
R3290,global,ppa_left_31,face,diff,0.8201
R3290,global,ppa_left_31,house,same,0.9064
R3290,global,ppa_left_31,house,diff,0.8837
R3290,global,ppa_left_50,face,same,0.8909
R3290,global,ppa_left_50,face,diff,0.8572
R3290,global,ppa_left_50,house,same,0.946
R3290,global,ppa_left_50,house,diff,0.9309
R3290,global,ppa_right_100,face,same,0.8454
R3290,global,ppa_right_100,face,diff,0.84
R3290,global,ppa_right_100,house,same,0.9023
R3290,global,ppa_right_100,house,diff,0.9351
R3290,global,ppa_right_150,face,same,0.8116
R3290,global,ppa_right_150,face,diff,0.7913
R3290,global,ppa_right_150,house,same,0.8525
R3290,global,ppa_right_150,house,diff,0.8777
R3290,global,ppa_right_23,face,same,0.7431
R3290,global,ppa_right_23,face,diff,0.7091
R3290,global,ppa_right_23,house,same,0.7713
R3290,global,ppa_right_23,house,diff,0.7901
R3290,global,ppa_right_31,face,same,0.8399
R3290,global,ppa_right_31,face,diff,0.8325
R3290,global,ppa_right_31,house,same,0.8946
R3290,global,ppa_right_31,house,diff,0.921
R3290,global,ppa_right_50,face,same,1.008
R3290,global,ppa_right_50,face,diff,1.057
R3290,global,ppa_right_50,house,same,1.098
R3290,global,ppa_right_50,house,diff,1.147
R3290,global,psts_24_bilat,face,same,0.1311
R3290,global,psts_24_bilat,face,diff,0.194
R3290,global,psts_24_bilat,house,same,0.1694
R3290,global,psts_24_bilat,house,diff,0.06214
R3290,global,rsc_24_bilat,face,same,-0.009283
R3290,global,rsc_24_bilat,face,diff,-0.162
R3290,global,rsc_24_bilat,house,same,-0.05151
R3290,global,rsc_24_bilat,house,diff,-0.2078
R3290,global,ventral_stream,face,same,0.422
R3290,global,ventral_stream,face,diff,0.4108
R3290,global,ventral_stream,house,same,0.3203
R3290,global,ventral_stream,house,diff,0.4115
R3290,global,ventral_stream_sub_V1V4,face,same,0.257
R3290,global,ventral_stream_sub_V1V4,face,diff,0.2351
R3290,global,ventral_stream_sub_V1V4,house,same,0.15
R3290,global,ventral_stream_sub_V1V4,house,diff,0.2303
R3290,local,IPS0,face,same,0.5307
R3290,local,IPS0,face,diff,0.8748
R3290,local,IPS0,house,same,0.8497
R3290,local,IPS0,house,diff,0.9402
R3290,local,IPS1,face,same,0.1111
R3290,local,IPS1,face,diff,0.4508
R3290,local,IPS1,house,same,0.4211
R3290,local,IPS1,house,diff,0.5078
R3290,local,IPS2,face,same,-0.1829
R3290,local,IPS2,face,diff,0.2367
R3290,local,IPS2,house,same,0.2559
R3290,local,IPS2,house,diff,0.1865
R3290,local,IPS3,face,same,-0.4111
R3290,local,IPS3,face,diff,0.06603
R3290,local,IPS3,house,same,0.00279
R3290,local,IPS3,house,diff,-0.1793
R3290,local,IPS4,face,same,-0.4953
R3290,local,IPS4,face,diff,0.02039
R3290,local,IPS4,house,same,-0.1904
R3290,local,IPS4,house,diff,-0.3121
R3290,local,IPS5,face,same,-0.2592
R3290,local,IPS5,face,diff,0.6332
R3290,local,IPS5,house,same,0.3622
R3290,local,IPS5,house,diff,0.1396
R3290,local,LO1,face,same,1.081
R3290,local,LO1,face,diff,1.565
R3290,local,LO1,house,same,1.441
R3290,local,LO1,house,diff,1.587
R3290,local,LO2,face,same,0.1669
R3290,local,LO2,face,diff,0.5865
R3290,local,LO2,house,same,0.3755
R3290,local,LO2,house,diff,0.5474
R3290,local,MST,face,same,-0.1341
R3290,local,MST,face,diff,0.03825
R3290,local,MST,house,same,-0.07552
R3290,local,MST,house,diff,-0.1187
R3290,local,PHC1,face,same,-0.09172
R3290,local,PHC1,face,diff,0.1189
R3290,local,PHC1,house,same,0.3137
R3290,local,PHC1,house,diff,0.2795
R3290,local,PHC2,face,same,-0.2183
R3290,local,PHC2,face,diff,-0.0453
R3290,local,PHC2,house,same,0.07073
R3290,local,PHC2,house,diff,0.1287
R3290,local,SPL1,face,same,-0.5508
R3290,local,SPL1,face,diff,0.1208
R3290,local,SPL1,house,same,0.03004
R3290,local,SPL1,house,diff,0.02227
R3290,local,V1,face,same,0.6122
R3290,local,V1,face,diff,0.8499
R3290,local,V1,house,same,0.9594
R3290,local,V1,house,diff,1.049
R3290,local,V1-V3,face,same,0.721
R3290,local,V1-V3,face,diff,0.9793
R3290,local,V1-V3,house,same,1.107
R3290,local,V1-V3,house,diff,1.171
R3290,local,V1-V4,face,same,0.7525
R3290,local,V1-V4,face,diff,1.021
R3290,local,V1-V4,house,same,1.135
R3290,local,V1-V4,house,diff,1.207
R3290,local,V1d,face,same,0.5941
R3290,local,V1d,face,diff,0.7699
R3290,local,V1d,house,same,1.107
R3290,local,V1d,house,diff,1.046
R3290,local,V1v,face,same,0.6454
R3290,local,V1v,face,diff,0.9342
R3290,local,V1v,house,same,0.8963
R3290,local,V1v,house,diff,1.094
R3290,local,V2,face,same,0.5415
R3290,local,V2,face,diff,0.784
R3290,local,V2,house,same,0.9117
R3290,local,V2,house,diff,0.9665
R3290,local,V2d,face,same,0.6859
R3290,local,V2d,face,diff,0.8502
R3290,local,V2d,house,same,1.24
R3290,local,V2d,house,diff,1.07
R3290,local,V2v,face,same,0.4018
R3290,local,V2v,face,diff,0.7199
R3290,local,V2v,house,same,0.5938
R3290,local,V2v,house,diff,0.8667
R3290,local,V3,face,same,0.8445
R3290,local,V3,face,diff,1.095
R3290,local,V3,house,same,1.229
R3290,local,V3,house,diff,1.233
R3290,local,V3a,face,same,0.5931
R3290,local,V3a,face,diff,0.8916
R3290,local,V3a,house,same,1.178
R3290,local,V3a,house,diff,1.051
R3290,local,V3b,face,same,1.135
R3290,local,V3b,face,diff,1.573
R3290,local,V3b,house,same,1.573
R3290,local,V3b,house,diff,1.69
R3290,local,V3d,face,same,1.122
R3290,local,V3d,face,diff,1.367
R3290,local,V3d,house,same,1.605
R3290,local,V3d,house,diff,1.454
R3290,local,V3v,face,same,0.5463
R3290,local,V3v,face,diff,0.8043
R3290,local,V3v,house,same,0.8258
R3290,local,V3v,house,diff,0.9953
R3290,local,VO1,face,same,0.6308
R3290,local,VO1,face,diff,1.002
R3290,local,VO1,house,same,1.1
R3290,local,VO1,house,diff,1.239
R3290,local,VO2,face,same,0.2048
R3290,local,VO2,face,diff,0.5151
R3290,local,VO2,house,same,0.6789
R3290,local,VO2,house,diff,0.6664
R3290,local,all_regions,face,same,0.6419
R3290,local,all_regions,face,diff,0.9544
R3290,local,all_regions,house,same,1.042
R3290,local,all_regions,house,diff,1.099
R3290,local,ffa_24_bilat,face,same,0.2102
R3290,local,ffa_24_bilat,face,diff,0.5796
R3290,local,ffa_24_bilat,house,same,0.2617
R3290,local,ffa_24_bilat,house,diff,0.4035
R3290,local,ffa_24_left,face,same,0.261
R3290,local,ffa_24_left,face,diff,0.613
R3290,local,ffa_24_left,house,same,0.3927
R3290,local,ffa_24_left,house,diff,0.5593
R3290,local,ffa_24_right,face,same,0.1591
R3290,local,ffa_24_right,face,diff,0.546
R3290,local,ffa_24_right,house,same,0.13
R3290,local,ffa_24_right,house,diff,0.2468
R3290,local,ffa_31_bilat,face,same,0.2777
R3290,local,ffa_31_bilat,face,diff,0.6469
R3290,local,ffa_31_bilat,house,same,0.2932
R3290,local,ffa_31_bilat,house,diff,0.4577
R3290,local,ffa_31_left,face,same,0.3423
R3290,local,ffa_31_left,face,diff,0.6979
R3290,local,ffa_31_left,house,same,0.4468
R3290,local,ffa_31_left,house,diff,0.6504
R3290,local,ffa_31_right,face,same,0.2207
R3290,local,ffa_31_right,face,diff,0.6018
R3290,local,ffa_31_right,house,same,0.1576
R3290,local,ffa_31_right,house,diff,0.2873
R3290,local,ffa_38_bilat,face,same,0.1511
R3290,local,ffa_38_bilat,face,diff,0.5726
R3290,local,ffa_38_bilat,house,same,0.06661
R3290,local,ffa_38_bilat,house,diff,0.2288
R3290,local,ffa_38_left,face,same,0.2166
R3290,local,ffa_38_left,face,diff,0.2818
R3290,local,ffa_38_left,house,same,0.1049
R3290,local,ffa_38_left,house,diff,0.1249
R3290,local,ffa_38_right,face,same,0.1502
R3290,local,ffa_38_right,face,diff,0.5764
R3290,local,ffa_38_right,house,same,0.06611
R3290,local,ffa_38_right,house,diff,0.2302
R3290,local,ffa_left_100,face,same,0.614
R3290,local,ffa_left_100,face,diff,1.14
R3290,local,ffa_left_100,house,same,0.426
R3290,local,ffa_left_100,house,diff,0.7691
R3290,local,ffa_left_150,face,same,0.6035
R3290,local,ffa_left_150,face,diff,1.11
R3290,local,ffa_left_150,house,same,0.429
R3290,local,ffa_left_150,house,diff,0.7591
R3290,local,ffa_left_23,face,same,0.6035
R3290,local,ffa_left_23,face,diff,1.11
R3290,local,ffa_left_23,house,same,0.429
R3290,local,ffa_left_23,house,diff,0.7591
R3290,local,ffa_left_31,face,same,0.7035
R3290,local,ffa_left_31,face,diff,1.244
R3290,local,ffa_left_31,house,same,0.2869
R3290,local,ffa_left_31,house,diff,0.7663
R3290,local,ffa_left_50,face,same,0.7271
R3290,local,ffa_left_50,face,diff,1.249
R3290,local,ffa_left_50,house,same,0.3757
R3290,local,ffa_left_50,house,diff,0.8054
R3290,local,ffa_right_100,face,same,0.7921
R3290,local,ffa_right_100,face,diff,1.118
R3290,local,ffa_right_100,house,same,0.4891
R3290,local,ffa_right_100,house,diff,0.6993
R3290,local,ffa_right_150,face,same,0.7004
R3290,local,ffa_right_150,face,diff,1.035
R3290,local,ffa_right_150,house,same,0.4749
R3290,local,ffa_right_150,house,diff,0.6421
R3290,local,ffa_right_23,face,same,0.4717
R3290,local,ffa_right_23,face,diff,0.8085
R3290,local,ffa_right_23,house,same,0.4012
R3290,local,ffa_right_23,house,diff,0.5061
R3290,local,ffa_right_31,face,same,0.6762
R3290,local,ffa_right_31,face,diff,1.01
R3290,local,ffa_right_31,house,same,0.465
R3290,local,ffa_right_31,house,diff,0.6247
R3290,local,ffa_right_50,face,same,0.7798
R3290,local,ffa_right_50,face,diff,1.079
R3290,local,ffa_right_50,house,same,0.4161
R3290,local,ffa_right_50,house,diff,0.6421
R3290,local,hMT,face,same,-0.2165
R3290,local,hMT,face,diff,0.02966
R3290,local,hMT,house,same,-0.01507
R3290,local,hMT,house,diff,0.07027
R3290,local,hV4,face,same,1.046
R3290,local,hV4,face,diff,1.417
R3290,local,hV4,house,same,1.34
R3290,local,hV4,house,diff,1.522
R3290,local,ofa_24_bilat,face,same,0.3465
R3290,local,ofa_24_bilat,face,diff,0.584
R3290,local,ofa_24_bilat,house,same,0.3441
R3290,local,ofa_24_bilat,house,diff,0.4466
R3290,local,ofa_left_100,face,same,0.8101
R3290,local,ofa_left_100,face,diff,0.8247
R3290,local,ofa_left_100,house,same,0.3178
R3290,local,ofa_left_100,house,diff,0.8003
R3290,local,ofa_right_100,face,same,1.082
R3290,local,ofa_right_100,face,diff,1.492
R3290,local,ofa_right_100,house,same,0.7443
R3290,local,ofa_right_100,house,diff,1.009
R3290,local,opa_24_bilat,face,same,0.7456
R3290,local,opa_24_bilat,face,diff,1.076
R3290,local,opa_24_bilat,house,same,1.032
R3290,local,opa_24_bilat,house,diff,1.186
R3290,local,opa_left_100,face,same,1.379
R3290,local,opa_left_100,face,diff,1.974
R3290,local,opa_left_100,house,same,2.02
R3290,local,opa_left_100,house,diff,2.31
R3290,local,opa_right_100,face,same,1.013
R3290,local,opa_right_100,face,diff,1.529
R3290,local,opa_right_100,house,same,1.469
R3290,local,opa_right_100,house,diff,1.498
R3290,local,ppa_24_bilat,face,same,-0.00676
R3290,local,ppa_24_bilat,face,diff,0.25
R3290,local,ppa_24_bilat,house,same,0.3527
R3290,local,ppa_24_bilat,house,diff,0.4427
R3290,local,ppa_24_left,face,same,-0.03381
R3290,local,ppa_24_left,face,diff,0.1955
R3290,local,ppa_24_left,house,same,0.2895
R3290,local,ppa_24_left,house,diff,0.3767
R3290,local,ppa_24_right,face,same,0.02024
R3290,local,ppa_24_right,face,diff,0.3044
R3290,local,ppa_24_right,house,same,0.4157
R3290,local,ppa_24_right,house,diff,0.5085
R3290,local,ppa_31_bilat,face,same,0.02502
R3290,local,ppa_31_bilat,face,diff,0.3015
R3290,local,ppa_31_bilat,house,same,0.4258
R3290,local,ppa_31_bilat,house,diff,0.5245
R3290,local,ppa_31_left,face,same,-0.03424
R3290,local,ppa_31_left,face,diff,0.2062
R3290,local,ppa_31_left,house,same,0.326
R3290,local,ppa_31_left,house,diff,0.4168
R3290,local,ppa_31_right,face,same,0.08219
R3290,local,ppa_31_right,face,diff,0.3933
R3290,local,ppa_31_right,house,same,0.522
R3290,local,ppa_31_right,house,diff,0.6283
R3290,local,ppa_38_bilat,face,same,0.03878
R3290,local,ppa_38_bilat,face,diff,0.3419
R3290,local,ppa_38_bilat,house,same,0.4895
R3290,local,ppa_38_bilat,house,diff,0.6028
R3290,local,ppa_38_left,face,same,-0.04824
R3290,local,ppa_38_left,face,diff,0.2248
R3290,local,ppa_38_left,house,same,0.3671
R3290,local,ppa_38_left,house,diff,0.4779
R3290,local,ppa_38_right,face,same,0.1174
R3290,local,ppa_38_right,face,diff,0.4478
R3290,local,ppa_38_right,house,same,0.6
R3290,local,ppa_38_right,house,diff,0.7157
R3290,local,ppa_left_100,face,same,0.5579
R3290,local,ppa_left_100,face,diff,0.9717
R3290,local,ppa_left_100,house,same,1.082
R3290,local,ppa_left_100,house,diff,1.15
R3290,local,ppa_left_150,face,same,0.4791
R3290,local,ppa_left_150,face,diff,0.8725
R3290,local,ppa_left_150,house,same,0.9628
R3290,local,ppa_left_150,house,diff,1.046
